ts,temp,humidity,soil,ph
2026-01-29T11:39:08.689573+00:00,22.9,76.5,100.0,7.0
2026-01-29T11:39:14.385467+00:00,22.9,76.3,100.0,7.0
2026-01-29T11:39:20.139933+00:00,22.9,76.1,100.0,7.0
2026-01-29T11:39:25.817263+00:00,22.9,76.0,100.0,7.0
2026-01-29T11:39:31.507069+00:00,22.9,76.0,100.0,7.0
2026-01-29T11:39:37.229439+00:00,22.9,76.0,100.0,7.0
2026-01-29T11:39:42.891158+00:00,22.9,76.0,100.0,7.0
2026-01-29T11:39:48.551732+00:00,22.9,75.9,100.0,7.0
2026-01-29T11:39:54.231369+00:00,22.9,75.9,100.0,7.0
2026-01-29T11:39:59.936465+00:00,22.9,76.0,100.0,7.0
2026-01-29T11:40:05.606196+00:00,22.9,76.3,100.0,7.0
2026-01-29T11:40:11.322509+00:00,22.9,76.2,100.0,7.0
2026-01-29T11:40:17.101073+00:00,22.9,75.9,100.0,7.0
2026-01-29T11:40:22.837207+00:00,22.8,76.1,100.0,7.0
2026-01-29T11:40:28.515426+00:00,22.9,79.5,100.0,7.0
2026-01-29T11:40:34.228406+00:00,23.1,83.0,100.0,7.0
2026-01-29T11:40:39.907639+00:00,23.4,86.1,100.0,7.0
2026-01-29T11:40:45.545513+00:00,24.3,97.1,100.0,7.0
2026-01-29T11:40:51.232664+00:00,24.4,94.7,100.0,7.0
2026-01-29T11:40:56.881539+00:00,24.4,95.6,100.0,7.0
2026-01-29T11:41:02.585441+00:00,24.5,96.3,100.0,7.0
2026-01-29T11:41:08.269528+00:00,24.5,96.7,100.0,7.0
2026-01-29T11:41:13.994027+00:00,24.5,96.6,100.0,7.0
2026-01-29T11:41:19.656982+00:00,24.5,96.2,100.0,7.0
2026-01-29T11:41:25.289215+00:00,24.5,95.4,100.0,7.0
2026-01-29T11:41:30.932849+00:00,24.5,93.1,100.0,7.0
2026-01-29T11:41:36.608313+00:00,24.6,91.9,100.0,7.0
2026-01-29T11:41:42.479317+00:00,24.6,89.4,100.0,7.0
2026-01-29T11:41:48.208262+00:00,24.6,86.9,100.0,7.0
2026-01-29T11:41:53.861305+00:00,24.7,84.2,100.0,7.0
2026-01-29T11:41:59.586693+00:00,24.7,81.9,100.0,7.0
2026-01-29T11:42:05.303331+00:00,24.7,79.9,100.0,7.0
2026-01-29T11:42:10.959487+00:00,24.7,77.1,100.0,7.0
2026-01-29T11:42:16.595500+00:00,24.7,76.1,100.0,7.0
2026-01-29T11:42:22.247996+00:00,24.7,75.4,100.0,7.0
2026-01-29T11:42:27.859293+00:00,24.7,74.7,100.0,7.0
2026-01-29T11:42:33.488329+00:00,24.7,73.9,100.0,7.0
2026-01-29T11:42:39.182961+00:00,24.7,73.4,100.0,7.0
2026-01-29T11:42:44.819499+00:00,24.6,73.0,100.0,7.0
2026-01-29T11:42:50.467787+00:00,24.6,72.7,100.0,7.0
2026-01-29T11:42:56.060123+00:00,24.6,72.4,100.0,7.0
2026-01-29T11:43:01.723393+00:00,24.6,72.0,100.0,7.0
2026-01-29T11:43:07.411115+00:00,24.5,71.8,100.0,7.0
2026-01-29T11:43:13.164373+00:00,24.5,71.8,100.0,7.0
2026-01-29T11:43:18.895272+00:00,24.5,71.7,100.0,7.0
2026-01-29T11:43:24.577991+00:00,24.5,71.8,100.0,7.0
2026-01-29T11:43:30.242331+00:00,24.5,71.5,100.0,7.0
2026-01-29T11:43:35.789561+00:00,24.4,71.5,100.0,7.0
2026-01-29T11:43:41.474724+00:00,24.4,71.5,100.0,7.0
2026-01-29T11:43:47.122583+00:00,24.4,71.5,100.0,7.0
2026-01-29T11:43:52.801051+00:00,24.3,71.6,100.0,7.0
2026-01-29T11:43:58.529244+00:00,24.3,71.5,100.0,7.0
2026-01-29T11:44:04.230107+00:00,24.3,71.7,100.0,7.0
2026-01-29T11:44:09.835945+00:00,24.3,71.6,100.0,7.0
2026-01-29T11:44:15.524103+00:00,24.3,71.6,100.0,7.0
2026-01-29T11:44:21.209070+00:00,24.2,71.7,100.0,7.0
2026-01-29T11:44:26.881189+00:00,24.2,71.7,100.0,7.0
2026-01-29T11:44:32.570331+00:00,24.2,71.8,100.0,7.0
2026-01-29T11:44:38.227798+00:00,24.2,71.8,100.0,7.0
2026-01-29T11:44:43.876910+00:00,24.1,72.0,100.0,7.0
2026-01-29T11:44:49.441890+00:00,24.1,71.9,100.0,7.0
2026-01-29T11:44:55.127316+00:00,24.1,71.9,100.0,7.0
2026-01-29T11:45:00.763721+00:00,24.0,71.9,100.0,7.0
2026-01-29T11:45:06.457524+00:00,24.0,72.2,100.0,7.0
2026-01-29T11:45:12.177593+00:00,24.0,72.1,100.0,7.0
2026-01-29T11:45:17.815196+00:00,24.0,72.1,100.0,7.0
2026-01-29T11:45:23.477706+00:00,24.0,72.2,100.0,7.0
2026-01-29T11:45:29.224751+00:00,23.9,72.2,100.0,7.0
2026-01-29T11:45:34.866814+00:00,23.9,72.2,100.0,7.0
2026-01-29T11:45:40.656546+00:00,23.9,72.5,100.0,7.0
2026-01-29T11:45:46.366231+00:00,23.9,72.4,100.0,7.0
2026-01-29T11:45:52.075618+00:00,23.9,72.4,100.0,7.0
2026-01-29T11:45:57.810274+00:00,23.8,72.5,100.0,7.0
2026-01-29T11:46:03.426323+00:00,23.8,72.8,100.0,7.0
2026-01-29T11:46:08.966454+00:00,23.8,72.6,100.0,7.0
2026-01-29T11:46:14.556706+00:00,23.8,72.6,100.0,7.0
2026-01-29T11:46:20.141436+00:00,23.8,72.7,100.0,7.0
2026-01-29T11:46:25.795324+00:00,23.7,73.0,100.0,7.0
2026-01-29T11:46:31.426451+00:00,23.7,72.7,100.0,7.0
2026-01-29T11:46:37.025206+00:00,23.7,72.8,100.0,7.0
2026-01-29T11:46:42.744052+00:00,23.7,72.8,100.0,7.0
2026-01-29T11:46:48.425562+00:00,23.7,72.9,100.0,7.0
2026-01-29T11:46:54.131277+00:00,23.7,72.9,100.0,7.0
2026-01-29T11:46:59.835361+00:00,23.7,72.9,100.0,7.0
2026-01-29T11:47:05.544135+00:00,23.6,73.2,100.0,7.0
2026-01-29T11:47:11.230987+00:00,23.6,73.3,100.0,7.0
2026-01-29T11:47:16.880727+00:00,23.6,73.1,100.0,7.0
2026-01-29T11:47:22.579705+00:00,23.6,73.2,100.0,7.0
2026-01-29T11:47:28.260056+00:00,23.6,73.2,100.0,7.0
2026-01-29T11:47:33.893922+00:00,23.6,73.2,100.0,7.0
2026-01-29T11:47:39.518304+00:00,23.6,73.2,100.0,7.0
2026-01-29T11:47:45.225580+00:00,23.6,73.2,100.0,7.0
2026-01-29T11:47:50.918736+00:00,23.5,73.4,100.0,7.0
2026-01-29T11:47:56.661126+00:00,23.5,73.4,100.0,7.0
2026-01-29T11:48:02.398381+00:00,23.5,73.4,100.0,7.0
2026-01-29T11:48:08.058693+00:00,23.5,73.4,100.0,7.0
2026-01-29T11:48:13.704097+00:00,23.5,73.7,100.0,7.0
2026-01-29T11:48:19.344945+00:00,23.5,73.5,100.0,7.0
2026-01-29T11:48:25.075687+00:00,23.4,73.5,100.0,7.0
2026-01-29T11:48:30.756710+00:00,23.4,73.6,100.0,7.0
2026-01-29T11:48:36.467057+00:00,23.4,73.9,100.0,7.0
2026-01-29T11:48:42.174285+00:00,23.4,73.6,100.0,7.0
2026-01-29T11:48:47.935333+00:00,23.4,73.8,100.0,7.0
2026-01-29T11:48:53.615165+00:00,23.4,73.7,100.0,7.0
2026-01-29T11:48:59.364591+00:00,23.4,73.7,100.0,7.0
2026-01-29T11:49:05.101629+00:00,23.4,73.8,100.0,7.0
2026-01-29T11:49:10.752068+00:00,23.3,73.8,100.0,7.0
2026-01-29T11:49:16.461872+00:00,23.4,74.2,100.0,7.0
2026-01-29T11:49:22.081341+00:00,23.4,73.9,100.0,7.0
2026-01-29T11:49:27.750496+00:00,23.3,73.9,100.0,7.0
2026-01-29T11:49:33.394969+00:00,23.3,73.9,100.0,7.0
2026-01-29T11:49:39.150163+00:00,23.3,74.2,100.0,7.0
2026-01-29T11:49:44.785205+00:00,23.3,74.0,100.0,7.0
2026-01-29T11:49:50.428355+00:00,23.3,74.0,100.0,7.0
2026-01-29T11:49:56.080829+00:00,23.3,74.3,100.0,7.0
2026-01-29T11:50:01.761911+00:00,23.3,74.0,100.0,7.0
2026-01-29T11:50:07.410720+00:00,23.3,74.1,100.0,7.0
2026-01-29T11:50:13.019860+00:00,23.3,74.1,100.0,7.0
2026-01-29T11:50:18.613971+00:00,23.2,74.1,100.0,7.0
2026-01-29T11:50:24.233520+00:00,23.2,74.1,100.0,7.0
2026-01-29T11:50:29.998915+00:00,23.3,74.2,100.0,7.0
2026-01-29T11:50:35.679249+00:00,23.3,74.3,100.0,7.0
2026-01-29T11:50:41.350153+00:00,23.2,74.3,100.0,7.0
2026-01-29T11:50:46.995005+00:00,23.3,74.3,100.0,7.0
2026-01-29T11:50:52.693722+00:00,23.2,74.2,100.0,7.0
2026-01-29T11:50:58.285282+00:00,23.2,74.6,100.0,7.0
2026-01-29T11:51:03.998202+00:00,23.2,74.6,100.0,7.0
2026-01-29T11:51:09.683109+00:00,23.2,74.3,100.0,7.0
2026-01-29T11:51:15.271728+00:00,23.2,74.3,100.0,7.0
2026-01-29T11:51:20.992602+00:00,23.2,74.3,100.0,7.0
2026-01-29T11:51:26.724706+00:00,23.2,74.4,100.0,7.0
2026-01-29T11:51:32.364923+00:00,23.2,74.4,100.0,7.0
2026-01-29T11:51:38.064943+00:00,23.2,74.4,100.0,7.0
2026-01-29T11:51:43.719602+00:00,23.2,74.5,100.0,7.0
2026-01-29T11:51:49.333189+00:00,23.2,74.4,100.0,7.0
2026-01-29T11:51:55.021870+00:00,23.2,74.7,100.0,7.0
2026-01-29T11:52:00.659561+00:00,23.2,74.5,100.0,7.0
2026-01-29T11:52:06.381678+00:00,23.2,74.5,100.0,7.0
2026-01-29T11:52:12.041876+00:00,23.2,74.5,100.0,7.0
2026-01-29T11:52:17.745445+00:00,23.2,74.6,100.0,7.0
2026-01-29T11:52:23.389073+00:00,23.2,74.5,100.0,7.0
2026-01-29T11:52:29.083180+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:52:34.826614+00:00,23.2,74.7,100.0,7.0
2026-01-29T11:52:40.539698+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:52:46.104382+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:52:51.685708+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:52:57.402363+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:53:03.077585+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:53:08.741702+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:53:14.363424+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:53:20.070415+00:00,23.1,74.6,100.0,7.0
2026-01-29T11:53:25.757590+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:53:31.318718+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:53:36.971280+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:53:42.662458+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:53:48.331337+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:53:54.012641+00:00,23.1,75.0,100.0,7.0
2026-01-29T11:53:59.719428+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:54:05.473888+00:00,23.1,74.7,100.0,7.0
2026-01-29T11:54:11.216036+00:00,23.1,75.0,100.0,7.0
2026-01-29T11:54:16.917293+00:00,23.1,74.8,100.0,7.0
2026-01-29T11:54:22.631394+00:00,23.1,74.8,100.0,7.0
2026-01-29T11:54:28.306494+00:00,23.1,74.8,100.0,7.0
2026-01-29T11:54:33.968354+00:00,23.1,74.8,100.0,7.0
2026-01-29T11:54:39.618867+00:00,23.1,75.1,100.0,7.0
2026-01-29T11:54:45.415861+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:54:51.119036+00:00,23.1,74.8,100.0,7.0
2026-01-29T11:54:56.839009+00:00,23.1,74.8,100.0,7.0
2026-01-29T11:55:02.475493+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:55:08.162657+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:55:13.840934+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:55:19.631446+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:55:25.324251+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:55:30.943649+00:00,23.1,75.1,100.0,7.0
2026-01-29T11:55:36.581377+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:55:42.262843+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:55:48.060795+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:55:53.694800+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:55:59.427654+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:56:05.147581+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:56:10.838714+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:56:16.522504+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:56:22.272217+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:56:27.962807+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:56:33.739488+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:56:39.413137+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:56:45.050383+00:00,23.1,75.1,100.0,7.0
2026-01-29T11:56:50.719863+00:00,23.1,75.2,100.0,7.0
2026-01-29T11:56:56.419446+00:00,23.0,75.2,100.0,7.0
2026-01-29T11:57:02.120165+00:00,23.0,75.1,100.0,7.0
2026-01-29T11:57:07.818855+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:57:13.446732+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:57:19.178495+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:57:24.888574+00:00,23.1,74.9,100.0,7.0
2026-01-29T11:57:30.624119+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:57:36.277689+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:57:41.992468+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:57:47.765807+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:57:53.470571+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:57:59.203325+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:58:04.810947+00:00,23.0,75.2,100.0,7.0
2026-01-29T11:58:10.467311+00:00,23.0,74.9,100.0,7.0
2026-01-29T11:58:16.109165+00:00,23.0,75.2,100.0,7.0
2026-01-29T11:58:21.752358+00:00,23.1,75.2,100.0,7.0
2026-01-29T11:58:27.460631+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:58:33.116755+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:58:38.761150+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:58:44.410116+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:58:50.104250+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:58:55.774208+00:00,23.0,75.2,100.0,7.0
2026-01-29T11:59:01.432017+00:00,23.0,75.3,100.0,7.0
2026-01-29T11:59:07.102612+00:00,23.0,75.2,100.0,7.0
2026-01-29T11:59:12.720216+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:59:18.369249+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:59:24.045872+00:00,23.1,75.0,100.0,7.0
2026-01-29T11:59:29.631020+00:00,23.0,75.3,100.0,7.0
2026-01-29T11:59:35.241606+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:59:40.890678+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:59:46.625173+00:00,23.0,75.0,100.0,7.0
2026-01-29T11:59:52.299543+00:00,23.0,75.3,100.0,7.0
2026-01-29T11:59:57.959158+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:03.596875+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:09.322486+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:15.105513+00:00,23.0,75.0,100.0,7.0
